filename,zero_date
claytonfalls,6/30/2022 6:00
claytonfalls,06/05/2023 19:00
homathko,6/15/2023 2:00
klinaklini,08/04/2022 15:00
klinaklini,6/30/2023 13:00
lowercain,6/26/2022 17:00
machmellkliniklini,6/14/2019 4:00
machmellkliniklini,07/04/2020 18:00
machmellkliniklini,7/24/2022 23:00
machmellkliniklini,06/12/2023 04:00
mountarrowsmith,6/24/2018 15:00
mountarrowsmith,7/15/2022 5:00
perseverance,05/07/2020 14:00
tetrahedron,07/21/2018  22:00
tetrahedron,6/29/2019 19:00
tetrahedron,08/01/2022 19:00
