filename,zero_date
apelake,6/25/2017 15:00
claytonfalls,5/28/2015 22:00
claytonfalls,5/24/2016 15:00
claytonfalls,6/17/2018 3:00
claytonfalls,6/21/2020 18:00
claytonfalls,7/2/2022 7:00
claytonfalls,6/9/2023 15:00
cainridgerun,5/23/2019 19:00
cainridgerun,5/28/2023 13:00
homathko,6/14/2019 4:00
homathko,7/21/2022 22:00
homathko,6/9/2023 11:00
lowercain,6/1/2020 21:00
lowercain,6/18/2021 17:00
lowercain,7/2/2022 1:00
lowercain,5/27/2023 14:00
machmellkliniklini,6/24/2017 1:00
machmellkliniklini,7/5/2020 16:00
machmellkliniklini,7/22/2022 20:00
mountarrowsmith,6/12/2020 15:00
mountarrowsmith,6/23/2021 6:00
mountarrowsmith,7/18/2022 3:00
mountarrowsmith,6/7/2023 12:00
mountcayley,6/29/2016 16:00
mountcayley,7/14/2017 8:00
mountcayley,6/19/2019 4:00
mountcayley,6/29/2021 16:00
mountcayley,7/20/2022 22:00
mountmaya,6/22/2014 15:00
mountmaya,6/10/2015 1:00
mountmaya,6/6/2016 7:00
mountmaya,6/21/2018 17:00
mountmaya,7/14/2022 4:00
perseverance,5/4/2019 8:00
perseverance,5/7/2020 5:00
steph3,4/3/2016 16:00
tetrahedron,7/18/2018 1:00
tetrahedron,6/27/2019 15:00
tetrahedron,7/29/2022 20:00
uppercruickshank,7/1/2021 6:00
uppercruickshank,6/26/2023 20:00
